Date,Price
2017/2/9,24.19
2017/2/10,24.33
2017/2/13,24.33
2017/2/14,24.4
2017/2/15,24.59
2017/2/16,24.48
2017/2/17,24.45
2017/2/18,24.5
2017/2/20,24.37
2017/2/21,24.24
2017/2/22,24.38
2017/2/23,24.44
2017/2/24,24.48
2017/3/1,24.5
2017/3/2,24.5
2017/3/3,24.47
2017/3/6,24.45
2017/3/7,24.51
2017/3/8,24.56
2017/3/9,24.5
2017/3/10,24.4
2017/3/13,24.49
2017/3/14,24.6
2017/3/15,24.59
2017/3/16,24.76
2017/3/17,24.8
2017/3/20,24.92
2017/3/21,25.03
2017/3/22,25.08
2017/3/23,25
2017/3/24,24.98
2017/3/27,24.86
2017/3/28,24.75
2017/3/29,24.8
2017/3/30,24.8
2017/3/31,24.73
2017/4/5,24.91
2017/4/6,24.85
2017/4/7,24.79
2017/4/10,24.82
2017/4/11,24.59
2017/4/12,24.49
2017/4/13,24.52
2017/4/14,24.27
2017/4/17,24.18
2017/4/18,24.25
2017/4/19,24.18
2017/4/20,24.01
2017/4/21,24.09
2017/4/24,24.11
2017/4/25,24.23
2017/4/26,24.45
2017/4/27,24.44
2017/4/28,24.45
2017/5/2,24.56
2017/5/3,24.51
2017/5/4,24.61
2017/5/5,24.51
2017/5/8,24.57
2017/5/9,24.5
2017/5/10,24.47
2017/5/11,24.48
2017/5/12,24.56
2017/5/15,24.7
2017/5/16,24.75
2017/5/17,24.7
2017/5/18,24.66
2017/5/19,24.69
2017/5/22,24.75
2017/5/23,24.76
2017/5/24,24.76
2017/5/25,24.81
2017/5/26,24.89
2017/5/31,24.83
2017/6/1,24.84
2017/6/2,24.86
2017/6/3,24.9
2017/6/5,24.99
2017/6/6,25
2017/6/7,24.93
2017/6/8,25
2017/6/9,25
2017/6/12,25.07
2017/6/13,25.16
2017/6/14,24.96
2017/6/15,24.98
2017/6/16,25.05
2017/6/19,25.22
2017/6/20,25.26
2017/6/21,25.42
2017/6/22,25.56
2017/6/23,25.48
2017/6/26,25.7
2017/6/27,25.76
2017/6/28,25.57
2017/6/29,25.6
2017/6/30,25.58
2017/7/3,25.75
2017/7/4,25.65
2017/7/5,25.68
2017/7/6,25.64
2017/7/7,25.56
2017/7/10,25.58
2017/7/11,25.8
2017/7/12,25.94
2017/7/13,26
2017/7/14,26.04
2017/7/17,26.11
2017/7/18,26.13
2017/7/19,26.25
2017/7/20,26.25
2017/7/21,26.11
2017/7/24,26.03
2017/7/25,26.16
2017/7/26,26.15
2017/7/27,26.22
2017/7/28,26.19
2017/7/31,26.09
2017/8/1,26.2
2017/8/2,26.28
2017/8/3,26.23
2017/8/4,26.29
2017/8/7,26.34
2017/8/8,26.36
2017/8/9,26.26
2017/8/10,25.9
2017/8/11,25.86
2017/8/14,25.44
2017/8/15,25.68
2017/8/16,25.64
2017/8/17,25.85
2017/8/18,25.78
2017/8/21,25.67
2017/8/22,25.78
2017/8/23,25.87
2017/8/24,25.92
2017/8/25,25.94
2017/8/28,25.98
2017/8/29,25.85
2017/8/30,25.98
2017/8/31,26.09
2017/9/1,26.25
