Date,Price
2018/4/18,19.57
2018/4/19,19.85
2018/4/20,19.55
2018/4/23,19.33
2018/4/24,19.07
2018/4/25,19
2018/4/26,18.85
2018/4/27,18.91
2018/4/30,19.12
2018/5/2,19.06
2018/5/3,18.9
2018/5/4,18.86
2018/5/7,18.91
2018/5/8,18.95
2018/5/9,19.12
2018/5/10,19.12
2018/5/11,19.35
2018/5/14,19.56
2018/5/15,19.4
2018/5/16,19.31
2018/5/17,19.35
2018/5/18,19.27
2018/5/21,19.45
2018/5/22,19.33
2018/5/23,19.31
2018/5/24,19.38
2018/5/25,19.29
2018/5/28,19.34
2018/5/29,19.28
2018/5/30,19.2
2018/5/31,19.21
2018/6/1,19.36
2018/6/4,19.68
2018/6/5,19.65
2018/6/6,19.69
2018/6/7,19.59
2018/6/8,19.88
2018/6/11,19.79
2018/6/12,19.85
2018/6/13,19.95
2018/6/14,19.75
2018/6/15,19.75
2018/6/19,19.5
2018/6/20,19.49
2018/6/21,19.65
2018/6/22,19.48
2018/6/25,19.51
2018/6/26,19.38
2018/6/27,19.35
2018/6/28,19.32
2018/6/29,19.55
2018/7/2,19.59
2018/7/3,19.7
2018/7/4,19.75
2018/7/5,19.58
2018/7/6,19.53
2018/7/9,19.56
2018/7/10,19.6
2018/7/11,19.62
2018/7/12,19.7
2018/7/13,19.99
2018/7/16,19.98
2018/7/17,19.98
2018/7/18,20
2018/7/19,20.05
2018/7/20,20.05
2018/7/23,20.05
2018/7/24,20.1
2018/7/25,20.08
2018/7/26,20.11
2018/7/27,20.3
2018/7/30,20.31
2018/7/31,20.41
2018/8/1,20.7
2018/8/2,20.56
2018/8/3,20.65
2018/8/6,20.67
2018/8/7,20.69
2018/8/8,20.86
2018/8/9,20.9
2018/8/10,20.91
2018/8/13,20.37
2018/8/14,20.39
2018/8/15,20.13
2018/8/16,20.11
2018/8/17,20
2018/8/20,20.06
2018/8/21,20.17
2018/8/22,20.2
2018/8/23,20.21
2018/8/24,20.3
2018/8/27,20.35
2018/8/28,20.72
2018/8/29,20.78
2018/8/30,20.77
2018/8/31,20.68
2018/9/3,20.57
2018/9/4,20.66
2018/9/5,20.71
2018/9/6,20.64
2018/9/7,20.55
2018/9/10,20.3
2018/9/11,20.29
2018/9/12,20.23
2018/9/13,20.22
2018/9/14,20.4
2018/9/17,20.36
2018/9/18,20.27
2018/9/19,20.22
2018/9/20,20.21
2018/9/21,20.38
2018/9/25,20.53
2018/9/26,20.52
2018/9/27,20.55
2018/9/28,20.58
2018/10/1,20.58
2018/10/2,20.48
2018/10/3,20.35
2018/10/4,20.12
2018/10/5,19.71
2018/10/8,19.6
2018/10/9,19.59
2018/10/11,18.15
2018/10/12,18.74
2018/10/15,18.53
2018/10/16,18.59
2018/10/17,18.52
2018/10/18,18.51
2018/10/19,18.6
2018/10/22,18.69
2018/10/23,18.39
2018/10/24,18.35
2018/10/25,17.84
2018/10/26,17.67
2018/10/29,17.68
2018/10/30,17.78
2018/10/31,18.08
2018/11/1,18.38
2018/11/2,18.3
2018/11/5,18.15
2018/11/6,18.14
2018/11/7,18.25
2018/11/8,18.3
2018/11/9,18.04
2018/11/12,18.14
2018/11/13,18.07
2018/11/14,18.02
2018/11/15,18.06
2018/11/16,17.99
2018/11/19,18.08
2018/11/20,17.86
2018/11/21,17.96
2018/11/22,18
2018/11/23,17.7
2018/11/26,17.91
2018/11/27,17.83
2018/11/28,17.99
2018/11/29,18.17
2018/11/30,18.19
2018/12/3,18.65
2018/12/4,18.58
2018/12/5,18.38
2018/12/6,17.77
2018/12/7,17.83
2018/12/10,17.7
2018/12/11,17.74
2018/12/12,17.89
2018/12/13,17.92
2018/12/14,17.79
2018/12/17,17.7
2018/12/18,17.7
2018/12/19,17.66
2018/12/20,17.53
2018/12/21,17.48
2018/12/22,17.46
2018/12/24,17.35
2018/12/25,17.15
2018/12/26,17
2018/12/27,17.38
2018/12/28,17.45
2019/1/2,17.35
2019/1/3,17.16
2019/1/4,16.83
2019/1/7,17.18
2019/1/8,17.16
2019/1/9,17.5
2019/1/10,17.42
2019/1/11,17.5
2019/1/14,17.5
2019/1/15,17.57
2019/1/16,17.65
2019/1/17,17.79
2019/1/18,18.03
2019/1/21,18.21
2019/1/22,18.22
2019/1/23,18.15
